CALLE, FECHA DE COMIENZO, HORARIO, FECHA  DE FINALIZACION
"luis morote desde c.c el muelle jardindes isletas","13/11/2012","7,30-13,30",""
"avenida primero de mayo  12","15/11/2012","normal",""
"daoiz  25","15/11/2012","24",""
"arco obispo vela","20/11/2012","8-18",""
"avda alcalde francisco hernandez gonzalez nº 10-12","15/11/2012","",""
"secretario  padilla  105","16/11/2012","24",""
"carretera de tafira alta  47","17/11/2012","8-18",""
"avda alcalde ferancisco hernandez gonzalez  16-18","19/11/2012","24",""
"isla de montaña clara  5","19/11/2012","8-18",""
"arco  46","14/11/2012","normal",""
"leon y castillo 15","16/11/2012","8-20",""
"manzana secretario padilla  pizarro panama 81-83--4","18/11/2012","24",""
"paseo de tomas morales  114","16/11/2012","24",""
"concepcion arenal  20","21/11/2012","8-20",""
"eufemiano fuentes","16/11/2012","normal",""
"parque de la mayordomia","16/11/2012","normal",""
"rafael oramas  44","15/11/2012","8-20",""
"teobaldo power  entrada plaza la libertad","15/11/2012","8-18",""
"jose franchy y roca","16/11/2012","",""
"castllejos 41","16/11/2012","12-20,00",""
"fernando guanarteme  79","19/11/2012","8-18",""
"francisco gourie  103","19/11/2012","8-18",""
"veinte nieve de abril 87","19/11/2012","normal",""
"realidasd  11","20/11/2012","24",""
"Teodoro Golfin nº 29","21/11/2012","",""
"avda de  escaleritas  149","20/11/2012","8-18",""
"la naval  82","21/11/2012","8-20",""
"varias calles","13/11/2012","24",""
"varias calles","15/11/2012","24",""
"varias calles","16/11/2012","24",""
"varias calles","19/11/2012","24",""
"ebas mercado del puerto","15/11/2012","24",""
"padre morales  melero  54","26/11/2012","24",""
"alemania 79","19/11/2012","24",""
"olof palme  27","24/11/2012","normal",""
"avda primero de mayo  78","26/11/2012","8-18",""
"perez galdos 43 con domingo j. navarro 40 viceversa","20/11/2012","8-18",""
"el lasso junta al centro civico","21/11/2012","normal",""
"general vives cruce avenida de jose mesa y lopez hasta aparcamiento subterraneo","24/11/2012","n/c",""
"joaquim blume nº 19","20/11/2012","",""
"anton devorak 8","22/11/2012","24 horas","01/12/2012"
"avda jose mesa y lopez 41","22/11/2012","8 a 18","22/11/2012"
"el cortijo de san gregorio 50","19/11/2012","","30/11/2012"
"luis benitez inglott 25","26/11/2012","","26/11/2012"
"diferentes de la ciudad","20/11/2012","08 a 18","20/11/2012"
"doctor grau bassas 17-21","28/11/2012","8-20",""
"parana 5","21/11/2012","8-20",""
"doctor manuel lezcano  2","26/11/2012","normal",""
"mayor de triana 99","22/11/2012","8-18",""
"colmenares  3","22/11/2012","8-18",""
"fuero del real  2","26/11/2012","8-20",""
"VARIAS CALLES","21/11/2012","24",""
"PEDRO HIDALGO  91","26/11/2012","NORMAL",""
"via8007 esq. Fayna","26/11/2012","normal",""
"varias calles","24/11/2012","22,00-6,00",""
"varias calles","22/11/2012","24",""
"leon y castillo 73-75","15/12/2012","8-20",""
"tomas alba edison 30","26/11/2012","8-20",""
"invierno  111","10/11/2012","8-20",""
"faya  5","26/11/2012","normal",""
"plaza de san agustin y su entorno","26/11/2012","normal",""
"agustin millares  21","27/11/2012","8-12",""
"acosayda  8","28/11/2012","8-20",""
"obispo codina sa marcial herreria guiniguada","28/11/2012","8-20",""
"secretario artiles  47","27/11/2012","24",""
"varias calles","23/11/2012","24",""
"clavel nº2","28/11/2012","08-20",""
"leon y castillo nº8","26/11/2012","08-20","26/11/2012"
"salvador manrique de lara nº5","27/11/2012","8-20","27/11/2012"
"la naval frente 29","27/11/2012","",""
"diferentes calles de la ciudad","26/11/2012","08 a 18","26/11/2012"
"anton dvorak 10","28/11/2012","08 a 18","29/11/2012"
"musico juan reyes de armas 6","03/12/2012","08 a 18","05/12/2012"
"lorenzo godoy maestro la danza 2","03/12/2012","08 a 18","05/12/2012"
"canalejas nº 63","28/11/2012","",""
"doctor hernan perez de grado 9","29/11/2012","24 horas","08/12/2012"
"olof palme 46","26/11/2012","08 a 20","02/01/2013"
"GENERAL MAS DE GAMINDE, 26","27/11/2012","8-18",""
"JUAN SARAZÁ ORTIZ, 17","27/11/2012","",""
"doctor apolinario macias 4","26/11/2012","8 a18","29/11/2012"
"parroco segundo vega 225","28/11/2012","8 a 18","29/11/2012"
"diferentes de la ciudad","27/11/2012","8 a 18",""
"pilarillo seco  4","30/11/2012","8-20",""
"valparaiso  2","30/11/2012","8-20",""
"varias calles","28/11/2012","24",""
"ciudad del campo","21/11/2012","normal",""
"prudencio morales  49","30/11/2012","8-18",""
"PASEO DE LAS CANTERAS, 45","30/11/2012","",""
"ARCO, 9","29/11/2012","",""
"MENDIZABAL, 31","30/11/2012","",""
"VENEGAS, 29","03/12/2012","",""
"ITALIA, 56","03/12/2012","",""
"CONCEPCION ARENAL-ITALIA","05/12/2012","",""
"PANAMA, 16","","",""
"PIO CORONADO 117","04/12/2012","",""
"varias calles","29/11/2012","24",""
"PASEO DE TOMAS MORALES, 67 CON OBISPO ENCINA","03/12/2012","",""
"juan manuel duran gonzalez  30","04/12/2012","8-20",""
"luis dorestes silva  entre fuente luminosa y supercomisaria","03/12/2012","8-20",""
"eduardo benot albareda padre cueto 2-4-6","03/12/2012","24",""
"varias calles","30/11/2012","24",""
"reyes catolicos 66 esq. Hernan perez de grado","03/12/2012","8-20",""
"palza san antonio abad","01/12/2012","11,30-13,30",""
"suarez naranjo 1 esq jeronimo falcon 14","05/12/2012","8-20",""
"fernando guanarteme 53-55","03/12/2012","8-20",""
"alcalde jose ramirez bethencourt c. i. deportes","30/11/2012","24",""
"AVDA JOSE MESA Y LOPEZ, 4","03/12/2012","8-18",""
"PEDRO INFINITO, 133","05/12/2012","8-18",""
"PAMOCHAMOSO, 7- 9","05/12/2012","8-18",""
"luis morote  6","05/12/2012","8-20",""
"carretera gc- 310 pk 2.10 jardin botanico","05/12/2012","normal",""
"armas  10-b","04/12/2012","8-18",""
"varias calles","03/12/2012","24",""
"cebrian  8-10","04/12/2012","24",""
"pio xii  18","04/12/2012","8-20",""
"pintor pepe damaso  23-al 33","15/01/2013","24",""
"leon y castillo  29","05/12/2012","8-18",""
"pedro infinito  198-b","04/12/2012","24",""
"29 de abril 44 nicolas estevanez 18","04/12/2012","8-20",""
"CONSTANTINO  2","04/12/2012","NORMAL",""
"VARIAS CALLES","04/12/2012","24",""
"PALZA DE SAN AGUSTINJUNTO INTERSEECION AGUSTIN MILLARES","05/12/2012","24",""
"TEATRO PEREZ GALDOS","12/12/2012","NORMAL",""
"osorio 33 y 24","07/12/2012","8-20",""
"avda alcalde jose ramirez bethencourt  44","05/12/2012","24",""
"avda alcalde jose ramirez bethencourt  21","05/12/2012","24",""
"mayor de triana 44","07/12/2012","8-12",""
"triana avda jose  mesa y lopez plaza de españa","07/12/2012","",""
"mar bonita del pago de costa ayala","07/12/2012","normal",""
"varias calles","05/12/2012","24",""
"presidente alvear 59","05/12/2012","8-18",""
"francisco gourie  lateral teatro perez galdos","07/12/2012","24",""
"ingeniero salinas 17-19-21 y 22-24-26","10/12/2012","8-20",""
"clavel  co triana","07/12/2012","8-18",""
"obispo codina 4","05/12/2012","24",""
"lopez socas  mercado del puerto s/n","07/12/2012","8-20",""
"JUAN MANUEL DURAN GONZALEZ, 39","10/12/2012","8-18",""
"CARLOS M. BLANDY, 49","07/12/2012","8-18",""
"via 8007 con fayna","10/12/2012","24",""
"via 8006 con fayna","13/12/2012","24",""
"perez del toro  12","07/12/2012","normal",""
"pintor juan guillermo  5","07/12/2012","7-20",""
"varias calles","07/12/2012","24",""
"paseo de las canteras  50","11/12/2012","24",""
"juan rejon  87","07/12/2012","8-20",""
"carril izq. Calle alvareda con padre cueto","19/03/2015","",""
"joaquin blume (carga y descarga)","25/03/2015","8 - 20",""
"reyes catolicos, frente 46","20/03/2015","",""
"reyes catolicos, 46","20/03/2015","24","03/04/2015"
"paseo de chil, 307","19/03/2015","8-20",""
"paseo de chil, 307","19/03/2015","","02/05/2015"
"prudencio morales, 49","23/03/2015","24","24/03/2015"
"prudencio morales, 49","24/03/2015","8-20","24/03/2015"
"luis morote, 28","18/03/2015","24","06/04/2015"
"manuel  de leon falcon  40","20/03/2015","8-20",""
"atacayte  6","23/03/2015","24",""
"varias  calles","18/03/2015","8-20","18/03/2015"
"general vives  2-9","16/03/2015","22,00-6,00",""
"viera y clavijo  20","21/03/2015","8-22",""
"lepanto 3","23/03/2015","24 horas","06/04/2015"
"victor   hugo 73-77 blasco ibañez 60-64","18/03/2015","24",""
"castillejos 21","20/03/2015","8-18","20/03/2015"
"honduras. 8-10","10/12/2012","",""
"paseo de tomas morales  69","11/12/2012","24",""
"varias calles","10/12/2012","24",""
"viera y clavijo 18-20","13/12/2012","variado",""
"utiaca 21","15/12/2012","8-18",""
"cordoba y otras","12/12/2012","22,00-6,00 y 20,00-6,00",""
"plaza barranco de la ballena  5","11/12/2012","24",""
"hoya la plata","13/12/2012","normal",""
"varias calles","11/12/2012","24",""
"varias calles","12/12/2012","24",""
"tebaldo power  plaza de la libertad","12/12/2012","",""
"paseo de las canteras  67","17/12/2012","24",""
"portugal altura olof palme","17/12/2012","8-20",""
"sagasta padre cueto 15","13/12/2012","24",""
"PLAZA DE ESPAÑA, 5","12/12/2012","NORMAL",""
"PORTUGAL 55","14/12/2012","8-18",""
"JUNCO ESQ. OROBAL","15/12/2012","8-14",""
"VARIAS CALLES","13/12/2012","24",""
"LA NAVAL  FRENTE 129","14/12/2012","8-20",""
"PLAZA DE ESPAÑA 5","14/12/2012","24",""
"AVDA ALACALDE RAMIREZ BETHENCOURT 53 PL DERECHOS HUMANOS","14/12/2012","",""
"paseo de madrid  5","17/12/2012","8-18",""
"paseo de madrid  5","05/12/2012","normal",""
"reina mercedes del pilar","17/12/2012","8-20 22,00-6,00",""
"olof palme tramo portugal fernando guanarteme","17/12/2012","7-20 y 22,00- 6,00",""
"cordoba  leon","17/12/2012","7.30-17,30-y 22,00-6,00",""
"secretario artiles  42-44","19/12/2012","8-18",""
"francisco gourie  21","17/12/2012","8-18",""
"luis doreste silva 18","17/12/2012","8/20","17/12/2012"
"jesus ferrer jimeno  1","17/12/2012","24","21/12/2012"
"JOSE FRANCHY ROCA, 57","17/12/2012","8-12",""
"galo ponte  12","17/12/2012","8-20",""
"varias csalles","17/12/2012","24","18/12/2012"
"granadera canaria  12","20/12/2012","normal",""
"lopez botas  45","19/12/2012","normal",""
"tomas miller alfredo l. jones","18/12/2012","23,00-6,00",""
"don pedro infinito  28 al 126","17/12/2012","24",""
"prudencio morales  41","19/12/2012","8-12",""
"plaza de san antonio abad","31/08/2013","18,45-19,30","31/08/2013"
"luis morote nº48","26/08/2013","08-20","30/08/2013"
"junco  46","26/08/2013","24","29/08/2013"
"varias calles","22/08/2013","24","22/08/2013"
"la naval  231","26/08/2013","normal","26/08/2013"
"juan manuel duran gonzalez frente 47","24/08/2013","8-15","24/08/2013"
"capitan eliseo lopez orduña 14","28/08/2013","","28/08/2013"
"secretario padilla  65","28/08/2013","normal","30/08/2013"
"cirilo moreno  39","26/08/2013","8-18","26/08/2013"
"leon y castillo 407","26/08/2013","24","29/08/2013"
"tenteniguada 30","26/08/2013","8-20","31/08/2013"
"alcalde francisco hernandez gonzalez colegio jesuitas","26/08/2013","8-20",""
"doctor juan  dominguez perez  51 sao paulo","26/08/2013","8-18",""
"pintor miro mainou 3","27/08/2013","8-20","27/08/2013"
"gordillo  34","29/08/2013","8-20","29/08/2013"
"juan rejon a la altura  de mahon 39","29/08/2013","8-20","29/08/2013"
"isla de montaña de clara  5","19/12/2012","8-18",""
"secretario artiles  86","18/12/2012","8-12",""
"secretario  padilla  170","18/12/2012","24",""
"pintor pepe damaso 34","01/01/2013","n/c",""
"republica dominicana  tramo palafox velarde","01/01/2013","n/c",""
"profesor lozano 14","21/12/2012","24",""
"sucre 14","21/12/2012","24",""
"néstor de la torre","18/12/2012","",""
"avda. alcalde josé ramírez bethencourt","18/12/2012","",""
"perojo 21","20/12/2012","8-18",""
"reloj 4","21/12/2012","8-18",""
"secretario padilla  71","18/12/2012","24",""
"varias calles","18/12/2012","24","18/12/2012"
"avda. juan 23, nº2","20/12/2012","",""
"jose franchy roca tomas miller","21/12/2012","normal",""
"bernardino correa viera","21/12/2012","7-20",""
"plaza de la constitucion 2","21/12/2012","normal",""
"carretera de mata paseo de san antonio","21/12/2012","7-20 22,00-6,00",""
"parque de la ballena","21/12/2012","7-20 y 22,00-6,00",""
"primavera  42","19/12/2012","24","31/12/2012"
"primavera 42","19/12/2012","24",""
"varias calles","19/12/2012","24",""
"peru 33/35/37/39","26/12/2012","24","28/12/2012"
"benartemi  33","20/12/2012","8-20",""
"simancas  21","20/12/2012","8-20",""
"pancho guerra  35","20/12/2012","8-20",""
"paseo de la cornisa con cronista benítez inglott","20/12/2012","",""
"luis doreste silva, 3-5","20/12/2012","",""
"diego betancor suarez escuela municipal pluton","26/12/2012","24",""
"varias calles","20/12/2012","24",""
"cordoba blas cabrera felipe  leon castillo trana y otras","26/12/2012","8-22",""
"arco, 93","21/12/2012","",""
"venegas, 4","26/12/2012","",""
"domingo doreste 13","27/12/2012","","27/12/2012"
"varias calles","21/12/2012","24",""
"teobaldo pwer 45","26/12/2012","24",""
"ana benitez  74","26/12/2012","8/18","26/12/2012"
"avda juan carlos  1º  17","02/01/2013","8-18",""
"general mas de gaminde  38","09/01/2013","normal",""
"carretera de mata  zona el polvorin","28/12/2012","8-20",""
"aguadulce  61","26/12/2012","24",""
"varias calles","26/12/2012","24",""
"paseo de blas cabrera felipe hospital insular","27/12/2012","8-20",""
"blas cabrera felipe dr sventenius iglesia de zarate","20/12/2012","8-20",""
"cronista benitez inglott 8","21/12/2012","normal",""
"cronista benitez inglott  8","27/12/2012","24",""
"mayor de triana 13 san pedro  11","02/01/2013","n/c",""
"avda de jose mesa  y lopez  18","01/01/2013","7,30-*8,30",""
"doctor llorente matos  2","03/01/2013","24",""
"trasera timonel 29 marina","26/12/2012","8-20",""
"varias calles","02/01/2013","n/c",""
"francisco gourieplaza stagno","01/01/2013","n/c",""
"plaza de stagno","01/01/2013","n/c",""
"leon y castillo esq.  Maestro valle","28/12/2012","8-20",""
"vergara  9","02/01/2013","",""
"varias calles","27/12/2012","24",""
"pablo penaguilas  139","29/12/2012","8-20",""
"avda alcalde jose saaverdra navarro  20","02/01/2013","8-12",""
"domigo e. dorestes  8","02/01/2013","24",""
"fernando guanarteme  con pelayo o viceversa","02/01/2013","8-18",""
"sucre  14","28/12/2012","8-20",""
"republica dominicana mercadona","31/12/2012","",""
"profesor  lozano 14","12/01/2013","24",""
"cirilo moreno 17","02/01/2013","8/10",""
"serventia 178","02/01/2013","8/18",""
"jesus de nazareno 2","03/01/2013","24","17/01/2013"
"valencia 4","03/01/2013","8:30/12:30",""
"NARDO CON ,MIMOSA 6","04/01/2013","8/18",""
"termino municipal","02/01/2013","24","31/12/2013"
"varias de la capital","02/01/2013","24","02/01/2013"
"crtra, de lomo blanco","05/12/2012","8/20","11/12/2012"
"desde leon y castillo esquin. Jose mesa y lopez  hasta leon y castillo nº290 ( trasera)","01/01/2013","22:00a 06:00","31/01/2013"
"BEETHOVEN, ESQUINA EMILIO LEY, PARA  APARCAMIENTO CIUDAD JARDIN","05/01/2013","","05/01/2013"
"varias calles","03/01/2013","24","03/01/2013"
"calzada lateral del norte  27","08/01/2013","8/18",""
"alceste esquina rafael mesa y lopez","09/01/2013","8/18","15/01/2013"
"AVENIDA JOSE MESA Y LOPEZ CON OLOF PALME 54","09/01/2013","24",""
"AVENIDA JOSE MESA Y LOPEZ CON OLOF PALME 54","14/01/2013","8/18",""
"NISPERO ( ALTURA RESIDENCIAL EL PALMERAL)","08/01/2013","24",""
"NISPERO ( ALTURA RESIDENCIAL EL PALMERAL)","08/01/2013","24",""
"VARIAS DEL TERMINO MUNICIPAL","04/01/2013","24","04/01/2013"
"AVED. ALCALDE RAMIREZ BETHENCOURT","14/01/2013","8/20","17/01/2013"
"PARQUE SAN TELMO TRASERA IGLESIA","04/02/2013","8/20","06/02/2013"
"TALIARTE 44 TECEN 8","10/01/2013","8/18","11/01/2013"
"MENDIZABAL 34","15/01/2013","24","17/01/2013"
"carretera subida santa margarita camino del chorro  mont. Quem.","09/01/2013","n/c",""
"jose franchy roca 72","08/01/2013","8-18",""
"simon  bolivar el marino emilio castelar","09/01/2013","normal",""
"zonas peatonales","09/01/2013","n/c",""
"zonas peatonales","09/01/2013","n/c",""
"arquirecto laureano arroyo centr de menores","09/01/2013","8-18",""
"avda jose mesa y lopez  18","09/01/2013","8-20",""
"candelaria de leon","14/01/2013","normal",""
"arauz 11","14/01/2013","normal",""
"cuatro cañones  8","09/01/2013","normal",""
"felo monzon  49","09/01/2013","normal",""
"secretario padilla  134","15/01/2013","normal",""
"daoiz paseo de las canteras","08/01/2013","7-18",""
"escritor secundino delgado esq romeria","14/01/2013","8-18",""
"angel guerra  18","08/01/2013","8-20",""
"CALZADA LATERAL DEL NORTE 27","09/01/2013","24",""
"TERMINO MUNICIPAL","09/01/2013","N/C",""
"TERMINO MUNICIPAL","09/01/2013","N/C",""
"MANUEL GONZALEZ MARTIN LATERAL ESTADIO INSULAR","09/01/2013","24",""
"nestor de la torre 44","09/01/2013","","09/01/2013"
"la naval nº4","09/01/2013","08-18",""
"DIVERSAS ZONAS PEATONALES DEL TERMINO MINICIPAL","10/01/2013","",""
"PLAZA DE HURTADO DE MENDOZA BIBLIOTECA INSULAR","09/01/2013","24",""
"AUDIENCIA  9","14/01/2013","8-12",""
"bombeo termino municipal","10/01/2013","",""
"estaciones de bombeo termino municipal","10/01/2013","n/c",""
"avenida rafael, cabrera estacion teatro perez galdos","10/01/2013","n/c",""
"varias calles","08/01/2013","24",""
"varias calles","09/01/2013","24",""
"junco orobal o vicevresa","10/01/2013","",""
"JUAN RAMON JIMENEZ 45","14/01/2013","24",""
"teobaldo power  45","11/01/2013","8-20",""
"joaquin blume  1","14/01/2013","24",""
"varias calles","10/01/2013","24",""
"paseo de madrid 8 angel guimera 107","23/01/2013","8-20",""
"ftco francisco arencibia cabreras/n","18/01/2013","8-20",""
"san bernardo 2 esq. Cano","21/01/2013","8-20",""
"CANDELARIA DE LEON S/N","14/01/2013","8/18",""
"PASEO FISICO BLAS CABRERA FELIPE S/N","21/01/2013","8/18",""
"MANUEL DE FALLA 78","14/01/2013","8/18","15/01/2013"
"FERNANDO GUANARTEME( ENTRE TOMAS MILLER Y JOAQUIN COSTA)","14/01/2013","8/20",""
"luis morete 14","18/01/2013","8/18","18/01/2013"
"aparcamiento eufemiano jurado","11/01/2013","8/15",""
"perdomo 11","14/01/2013","24",""
"varias calles","11/01/2013","24","11/01/2013"
"mayor de triana 103","16/01/2013","24",""
"emilio castelar","14/01/2013","9/13","14/01/2013"
"pavia 29","14/01/2013","8/20","17/01/2013"
"invierno 11","28/01/2013","8/20","30/01/2013"
"faro","28/01/2013","8/20","29/01/2013"
"manuel de falla 70","04/02/2013","8/20","06/02/2013"
"general mas de gaminde, 26","14/01/2013","",""
"PARADA DE GUAGUAS CALLE ALBAREDA FRENTE MERCADO MUNICIPAL","14/01/2013","24","31/12/2013"
"VIERA Y CLAVIJO 18/20","17/01/2013","8/22",""
