ACTIVITAT,NOM_COMERCIAL,EMPLAÇAMENT,ZONA,WEB
PERRUQUERIA,PERRUQUERIA YASSMIN,"PL CONSTITUCIO, 9 Esc 3 PB 02",DA3,
PERRUQUERIA,PERRUQUERIES AQUILINO,"PG FRANCESC MACIA, 61 01",DA4,
PERRUQUERIA,PERRUQUERS ISA,"PTGE SANT FRANCESC, 2-4 LOC 01",DA4,
COMERÇ AL DETALL DE MATERIAL FOTOGRAFIC I OPTIC,PERSONAL FOTO,"PG FRANCESC MACIA, 16",DA4,
FABRICACIÓ DE PECES METÀL·LIQUES,PERT,"C EMILI SOLA, 8",PI. CAN PI DE VILAROC,
PEIXATERIA,PESCADERIA,"CTRA SABADELL, 78",DA5,
PEIXATERIA,PESCADERIAS PACO PAQUITA,"C MARE DE DEU DE LOURDES, 1",DA5,
CENTRE D'ESTÈTICA,PETITS MOMENTS,"C JOAN MARAGALL, 24 PB 01",DA6,
"VENDA A L'ENGRÒS DE COMBUSTIBLES SÒLIDS, LÍQUIDS I GASOSOS, I PRODUCTES SIMILARS",PETROCAT,"AV CAN SUCARRATS, 138 NV 02",PI. COVA SOLERA,
BENZINERA,PETROPRIX,"CTRA MOLINS DE REI, 55",PI. CA N'ALZAMORA,
COMERÇ AL DETALL DE COMBUSTIBLES PER A VEHICLES,PETROPRIX,"CTRA MOLINS DE REI, 55",PI. CA N'ALZAMORA,
BENZINERA,PETROPRIX,"CTRA MOLINS DE REI, 55",PI. CA N'ALZAMORA,
VENDA I REPARACIÓ DE VEHICLES,PEUGEOT,"CTRA SABADELL, 175-177",PI. CTRA. TERRASSA,
CONSULTORI DE PODOLOGIA,PEUS,"C PERE ESMENDIA, 6",DA4,
MAGATZEM DE PRODUCTES ALIMENTARIS,PHARMA NORD,"C DUBLIN, 8 NV 05",PI. COVA SOLERA,
VENDA AL DETALL DE LLAMINADURES I GELATS,PICA-PICA,"AV BARCELONA, 53",DA4,
BAR,PICAR ALGO,"C BASSES, 5 PB B",DA4,
"COMERÇ AL DETALL DE PINSO, LLAVORS I ADOBS",PIENSOS CASTELLNOU,"C SERRA DEL MONTSEC, 9",DA2,
COMERÇ AL DETALL DE PINSOS I FRUITS SECS,PIENSOS Y COMPLEMENTOS BRONCHALES,"AV ESTATUT, 217-219 LOC 01",DA5,
MAGATZEM DE MATALASOS I ARTICLES DE DESCANS,PIKOLIN,"AV LLANA, 131",PI. LA LLANA,
PERRUQUERIA CENTRE D'ESTÈTICA,PILAR HERNANDEZ ESTILISTES,"C ALACANT, 5",DA5,
PERRUQUERIA,PILL-ROSS,"C VICTOR BALAGUER, 19-21 PB 02",DA6,
FABRICACIÓ DE PRODUCTES PLÀSTICS TERMOESTABLES,PINO COMPONENTES,"C COLLITA, 5-7",PI. LA BASTIDA,
FABRICACIO DE PINTURA A L'AIGUA,PINTURAS MONCOLOR,"C CHOPIN, 10",PI. CAN JARDI,
FABRICACIÓ DE PINTURES,PINTURAS TRIBO,"AV OLIMPIADES, 69",PI. CAN ROSES,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,PIPAU TOT PER AL TEU BB,"C MONTURIOL, 6A",DA6,
HERBORISTERIA,PIRAMIDE,"C DOCTOR TURRO, 7",DA4,
ACTIVITATS DE REFORÇ ESOCLAR (LUDOTECA),PITAGORAS,"C SANT SEBASTIA, 45",DA4,
BAR,PITUS,"C COLOM, 33",DA4,
RESTAURANT PIZZERIA PER EMPORTAR,PIZZERIA DA GIORGIO,"C BARTRINA, 13 01 03",DA6,
OFICINES,PJM PUJADAS,"C CICLISME, 1-3",PI. CAN ROSES,
FABRICACIO DE COLES I GELATINES,PJM PUJADAS,"C CICLISME, 1-3",PI. CAN ROSES,
FABRICACIÓ DE COLES I GELATINES,PJM PUJADAS,"C CICLISME, 1-3",PI. CAN ROSES,
perruqueria,PLA PERRUQUERS,"C LLOBATERAS, 79",DA6,
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,"PLACADIS, SL","AV GAUDI, 76",PI. CAN PI DE VILAROC,www.placadis.com
TRANSFORMACIÓ DE PLÀSTICS EN FORMA GRANULAR,"PLASTIC FERRISA, SL","C PARIS, 1-7 NV 30",PI. COVA SOLERA,
FABRICACIÓ DE PRIMERES MATÈRIES PLÀSTIQUES,"PLASTICOS BUMA, SCP","C SCHUBERT, 32",PI. CAN JARDI,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,PLASTICOS HILOBEL,"AV BIZET, 7",PI. CAN JARDI,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,"PLASTICOS MADA, SL","C SCHUMANN, 42 NV 08",PI. CAN JARDI,
FABRICACIÓ DE PRIMERES MATÈRIES PLÀSTIQUES,PLASTICOS MARBE,"C SCHUBERT, 32",PI. CAN JARDI,
FABRICACIÓ DE PRIMERES MATÈRIES PLÀSTIQUES,PLASTICOS SANT JORDI,"PTGE STRAUSS, 3B",PI. CAN JARDI,
MAGATZEM DE MATERIALS PER A LA CONSTRUCCIÓ,"PLASTICOS TECNOLOGICOS, SA","AV GAUDI, 265",PI. CAN PI DE VILAROC,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES,"PLASTICS ALCAPELL, SA","C SCHUMANN, 10",PI. CAN JARDI,
MAGATZEM DE MATERIALS PLÀSTICS,PLASTIPOL,"C ATLETISME, 4-6",PI. CAN ROSES,
RESTAURANT,PLATS,"C LLOBATERAS, 61",DA4,
COMERÇ AL DETALL DE PLATS PREPARATS,PLATS PREPARATS LA CASSOLA,"C EDISON, 5 Esc 1 PB 03",DA3,
TALLER DE MUNTATGE DE QUADRES ELÈCTRICS,PMR 2000,"CTRA SABADELL, 247 NV 46",PI. LA BASTIDA,
VENDA AL DETALL DE MAQUINÀRIA I ACCESSORIS,PNEUMATICA HIDRAULICA SAGE,AV ESTATUT,DA5,
REPARACIO DE VEHICLES A MOTOR ESPECIALITZAT EN PNEUMATICS,PNEUMATICS GALLEGO,"PL NENS, 2 Esc A LOC 05",DA3,
CONSULTORI D'INFERMERIA,PODO-ORTOPEDIA,"C MARGARIDA XIRGU, 12",DA4,
CONSULTORI DE PODOLOGIA,PODOCAD VALLES,"C EDISON, 5 Esc 1 PB 01",DA3,
CONSULTORI DE PODOLOGIA,PODOQGAT,"C SANT CUGAT, 34",DA4,
CONSULTORI MÈDIC,POLICLINICA RUBÍ,"C PERE ESMENDIA, 25 01 03",DA4,
PERRUQUERIA I CENTRE D'ESTÈTICA,PONSICO,"PL CATALUNYA, 7 02 01",DA4,
COMERÇ AL DETALL D'OBJECTES DE TOT TIPUS (BASAR),POPURRI,"C CERVANTES, 66 LOC",DA4,
APARCAMENT PRIVAT DE VEHICLES,PORTA RUBI,"CTRA SANT CUGAT, 63",DA6,
BAR-RESTAURANT,PORTA RUBI,"CTRA SANT CUGAT, 63 LOC 11",DA6,
CARPINTERIA DE ALUMINIO,PORTALP,"PG RIERA, 236 NV H",PI. LA LLANA,
SERRALLERIA,PORTES ALP,"AV CAN ROSES, 35",PI. CAN ROSES,
VENDA AL DETALL I REPARACIÓ D'EQUIPS INFORMÀTICS,POWER ON INFORMATICA/OFIMATICA,"C PINTOR MURILLO, 43 LOC 02",DA4,
COMERÇ AL DETALL I REPARACIÓ D'EQUIPS INFORMÀTICS,POWER PC,"C ANGEL GUIMERA, 4 PB 01",DA6,
COMERÇ AL DETALL DE ROBA I COMPLEMENTS,POWER PEOPLE,"PG FRANCESC MACIA, 88",DA4,
FABRICACIO DE PINTURES,PPG,"CTRA TERRASSA, 165",PI. CTRA. TERRASSA,
FABRICACIÓ DE PINTURES,PPG,"CTRA TERRASSA, 165",PI. CTRA. TERRASSA,
MANIPULACIÓ DE PRODUCTES AUXILIARS PER L'APLICACIÓ TÈXTIL,PQCA (PROQUÍMICA),"C PUIG I GAIRALT, 20",PI. CAN PI DE VILAROC,
VENDA AL DETALL DE MATERIALS PER A LA CONSTRUCCIÓ I SANEJAMENT,PREBLAU,"C MANUEL DE FALLA, 1",DA3,
COMERÇ AL DETALL DE PRODUCTES DE VESTIR,PRETTY GIRL,"C MAGI RAMENTOL, 1 LOC 01",DA6,
MAGATZEM DE PRODUCTES PER LA PREVENCIO D'INCENDIS,PREVENFOC,"C CICLISME, 11",PI. CAN ROSES,
VENDA AL DETALL D'ARTICLES DE FERRETERIA,PRIALCO,"PG PAU CLARIS, 61",DA4,
COMERÇ AL DETALL DE CARTUTXOS PER IMPRESSORES,PRINK CARTUTXOS,"C EDISON, 5 Esc 1 PB 02",DA3,
taller mecànic amb servei de lloguer de boxes,PROBOXES AUTO-REPARACIÓ DEL TEU VEHICLE,"CAMI RIERA, 30 NV 03",PI. COVA SOLERA,
FABRICACIÓ DE PRODUCTES DE MATÈRIES PLÀSTIQUES TERMOPLÀSTIQUES,PROCOM,"AV GAUDI, 172",PI. CAN PI DE VILAROC,
DISSENY I CONSTRUCCIÓ DE PROTOTIPS,PRODESMA,"C OR, 20 PB",DA1,
FABRICACIÓ DE PRODUCTES DE CAUTXÚ,PRODUCTOS J.V.,"C BACH, 4-6",PI. CAN JARDI,
FABRICACIÓ DE PECES DE CAUTXÚ I PLÀSTIC,"PRODUCTOS J.V., SL","C BACH, 4-6",PI. CAN JARDI,
MANOFACTURA DEL CAUTXU I EMMAGATZEMATGE DE PRODUCTE ACABAT,PRODUCTOS JV,"C VERDI, 80-82",,www.productosjv.com
INDUSTRIA ENGALZAR I IMPRIMIR BOSSES DE PAPER AMB TINTA A L'AIGUA,PRODUCTOS RIJA,"C MASSENET, 14",PI. CAN JARDI,
DISTRIBUCIÓ DE PRODUCTES QUÍMICS,"PRODUCTOS UHPON, SA","C STRAUSS, 21",PI. CAN JARDI,
VENDA A L'ENGRÒS DE MATERIAL FOTOGRÀFIC,PROLAB,"C PARIS, 1-7",PI. COVA SOLERA,www.prolab.es
APARCAMENT PRIVAT DE VEHICLES,"PROMOTORA JIRSEO, SL","PG TORRES, 46-48",DA3,
TALLER DE REPARACIÓ DE VEHICLES AMB XAPA I PINTURA,PROSERVICIE AMD ENERGY RUBÍ,"C CICLISME, 41",PI. CAN ROSES,
COMERÇ DE MAQUINÀRIA I ACCESSORIS TÈXTILS,PROSULTEX,"CTRA SANT CUGAT, 63 01 04",DA6,
TALLER DE PRÒTESIS DENTALS,PROTESIC DENTAL,"C GENERAL PRIM, 58",DA6,
TALLER DE PROTESIS DENTALS,PROTESIS DENTALS,"C HERMANN HESSE, 38",DA2,
FABRICACIÓ DE PECES METÀL·LIQUES,PROTO RAPID,"C CA N'ALZAMORA, 20 Esc 1 PB 01",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT DE VEHICLES,PROURSA,"C LLOBATERAS, 4",DA4,
APARCAMENT PRIVAT DE VEHICLES,PROURSA,"C MONTSERRAT, 15",DA4,
APARCAMENT PRIVAT DE VEHICLES,PROURSA,"C GUADALAJARA, 3",DA5,
MAGATZEM I OFICINA DE MATERIALS DE PROTECCIÓ PER LA CONSTRUCCIÓ,PROVENRED,"AV CAN SUCARRATS, 91-95 NV 15",PI. COVA SOLERA,
GESTIO I ADMINISTRACIO DE FINQUES,PROXIME,"C MONTURIOL, 20-22 PB 01",DA6,
MAGATZEM MATERIAL D'OFICINA,"PRYSE, SA","C LISBOA, 4 NV 06",PI. COVA SOLERA,
COMERÇ AL DETALL DE ROBA,PUF BARCELONA,"PL CONSTITUCIO, 5 Esc 1 ES 04",DA3,
TALLER D'INSTAL·LACIONS ELÈCTRIQUES,"PUIG MIQUEL, SA INSTAL·LACIONS ELECTRIQUES","C PONT, 3",DA4,
PLANTA TRANSVASAMENT DE RUNES I ALTRES RESIDUS DE LA CONSTRUCCIO (CANVI NO SUBSTANCIAL),PUIGFEL,LLOC MAS JORNET,PI. COVA SOLERA,
DIPOSIT CONTROLAT DE TERRES I RUNES (CANVI NO SUBSTANCIAL),PUIGFEL,URBAT CAN PI DE LA SERRA,DA2,
VENDA AL DETALL DE FRUITES I VERDURES,PUNT FRESC,"AV BARCELONA, 46 LOC",DA4,
COMERÇ AL DETALL DE COMBUSTIBLE PER VEHICLES A MOTOR,PUNTA SOLERA,"AV COVA SOLERA, 20",PI. COVA SOLERA,
PERRUQUERIA I CENTRE D'ESTÈTICA,PUNTO DE ENCUENTRO PELUQUERIA Y ESTETICA,"C LUMIERE, 18",DA6,
COMERÇ AL DETALL DE MENJARS PREPARATS AMB DEGUSTACIÓ,PUNTO IBERICO,"AV BARCELONA, 26",DA4,
BAR RESTAURANT,PÀMPOL BAR-RESTAURANT,"PG PAU CLARIS, 1",DA4,
FABRICACIO MAQUINARIA PER LES ARTS GRAFIQUES,QLAM,"C SCHUMANN, 30 NV 01",PI. CAN JARDI,
FUSTERIA,QUADRES HORTA,"C HOQUEI, 9 NV 26",PI. CAN ROSES,
TALLER DE MECANITZAT DE PECES PLÀSTIQUES,QUALITY & PRECISION SEALING,"C CICLISME, 35 NV 12",PI. CAN ROSES,
SERVEIS DE JARDINERIA,QUALITY GARDENS,"PG RIERA, 42 LOC 02",DA4,
RESTAURANT,QUATRE VENTS RESTAURANT,"PTGE QUATRE VENTS, 1",DA2,www.els4vents.com
MAGATZEM DE PRODUCTES DE NETEJA,"QUIMICS DALMAU, SL","C VERDI, 72-78 PB 02",PI. CAN JARDI,
FABRICACIÓ DE PRODUCTES METÀL·LICS,R. TRUJILLO,"AV CAN FATJO, 87-91",DA1,www.aluminiostrujillo.com
MAGATZEM DE VEHICLES SINISTRATS,RACC,"C CA N'ALZAMORA, 5",PI. CA N'ALZAMORA,
OFICINA D'ASSEGURANCES,RACC AUTOMBIL CLUB,"C MARE DE DEU DE MONTSERRAT, 15",DA4,
AUTOESCOLA,RACC FORMACIÓ,"C BARTRINA, 34",DA6,
BASAR,RACO DE LA LLAR VALERA,"C MARCONI, 60A Z.V",DA6,
"SERVEIS DE NATUROPATIA, ACUPUNTURA I ALTRES SERVEIS PARASANITARIS",RACO DE LA SALUT,"C ESCORIAL (EL), 1",DA5,
BAR-RESTAURANTE,RACO DEL PASSEIG,"PG PAU CLARIS, 43 Esc 1 PB 01",DA4,
VENDA AL DETALL D'ARTICLES DE REGAL,RACO ROSA,"PG FRANCESC MACIA, 46",DA4,
VENDA A L'ENGRÒS D'ARTICLES DE FERRETERIA,RADO 2000,"C SCHUMANN, 1",PI. CAN JARDI,
MAGATZEM D'EINES I PRODUCTES PER A LA CONSTRUCCIÓ,RADOBELL,"AV BIZET, 3",PI. CAN JARDI,
PERRUQUERIA,RAFFEL PAGES,"C MAXIMI FORNES, 5",DA4,
FABRICACIO DE PA RATLLAT (INF. BOMBERS),RALLIPAN,"C ROMA, 5",PI. COVA SOLERA,
fabricació de pa ratllat,RALLIPAN,"C ROMA, 5",PI. COVA SOLERA,
FABRICACIÓ DE PA RATLLAT,RALLIPAN,"C ROMA, 9",PI. COVA SOLERA,
COMERÇ AL DETALL DE CARBURANTS PER VEHICLES DE COMBUSTIO INTERNA (CANVI NO SUBSTANCIAL),RALLY,"CTRA MOLINS DE REI, KM 12,7",PI. LA BASTIDA,
GRANJA PER RAMADERIA D'EXPLOTACIO BOVINA,RAMADERIA MAS JORNET,LLOC MAS JORNET,DA1,
TALLER DE REPARACIÓ DE CALÇAT,RAPIDO DEL CALZADO,"C LLOBATERAS, 88",DA6,
TALLER DE REPARACIÓ DE CALÇAT,RAPIDO L.BARRIOS TAPETAS AL INSTANTE,"C GARCIA LORCA, 35",DA6,
REPARACIO DE SABATES,RAPIDO MODENO 2,"C MARE DE DEU DE LOURDES, 30-32",DA5,
VENDA AL DETALL D'ARTICLES USATS,RASTRE OCASIONES VETEL,"C BARCELONA, 10 PB 01",DA5,
EXPOSICIÓ I VENDA DE MOBLES DE SEGONA MÀ,RASTRO BETEL,"C SANTA LLUCIA, 10",DA4,
COMPRA-VENDA OBJECTES DE SEGONA MA,RASTRO COMPRA VENTA,"CTRA SANT CUGAT, 9 PB 03",DA6,
COMERÇ AL DETALL DE ROBA I ACCESSORIS,RAUL ASLA,"C SANT JOAN, 10",DA4,
ADMINISTRACIÓ DE FINQUES,RB ADMINISTRACIÓ DE FINQUES,"AV ESTATUT, 20 Esc 1 PB 3A",DA6,
oficina tècnica de disseny electrònic,RB ELECTRÒNICA,"C SANT SALVADOR, 3 PB",DA5,
VENDA A L'ENGRÒS D'EQUIPS I MATERIAL DE LABORATORI,RBI,"C MURCIA, 36 LOC",DA5,
OFICINA COMERCIAL DE PRODUCTES DE MEDICINA ESTÈTICA,REAL LASTING,"AV ELECTRICITAT, 19 03 04",PI. CA N'ALZAMORA,
APARCAMENT PRIVAT,REBIGO APARCAMENT,"C SABADELL, 62",DA4,
VENDA DE RECANVIS I ACCESSORIS PER L'AUTOMÒBIL,RECAMBIOS UNION,"PG PAU CLARIS, 9",DA4,
VALORTIZACIÓ DE RESIDUS NO PERILLOSOS (CANVI NO SUBS),RECICLAJE TABUENCA RUBÍ,"AV GAUDI, 108-110 NV 11",PI. CAN PI DE VILAROC,
DESPATX D'ENGINYERIA,RECOLONS VINYES ENGINYERIA I ARQUITECTURA,"AV ESTATUT, 130",DA5,
CONSULTORI MÈDIC,RECONEIXEMENTS MEDICS RUBI,"C LLOBATERAS, 6-10",DA4,
MONTATGE DE MÀQUINES RECREATIVES TIPUS A,RECREATIVOS ZAKROM,"C BACH, 29",PI. CAN JARDI,
TALLER MECÀNIC,RECTIFICADOS RECTISON,"C SCHUMANN, 49",PI. CAN JARDI,
VENDA AL DETALL D'ARTICLES PEL PARAMENT DE LA LLAR,RECUMAR,C BARTRINA,DA6,
RECICLATGE DE FERRALLA I REBUIG DE METALL,RECUPERACION DE CHATARRA Y METALES JMR,"AV GAUDI, 84-86 NV 04",PI. CAN PI DE VILAROC,
RECUPERACIÓ DE PAPERS I ALTRES RESIDUS,"RECUPERACION DE PAPLES HNOS. FERNANDEZ, SA","C PONT DE CAN CLAVERI, 62-64",PI. LA LLANA,
VALORITZACIÓ DE RESIDUS DE VIDRE,"RECUPERACION DE VIDRIO POLICART, SL","C LISBOA, 1",PI. COVA SOLERA,
GESTIO DE RESIDUS,RECUPERACIÓN DE CHATARRA Y METALES J.M.R,"AV GAUDI, 76",PI. CAN PI DE VILAROC,
MAGATZEM DE RESIDUS,RECYMET,"AV GAUDI, 76",PI. CAN PI DE VILAROC,
RECUPERACIÓ VALORITZACIÓ I COMERCIALITZACIÓ DE RESIDUS METÀL.LICS I EMMAGATZEMATGE DE RESIDUS PERILLOSOS,RECYMET,"C PUIG I CADAFALCH, 11",PI. CAN PI DE VILAROC,www.recymet.com
RECUPERACIO I VALORITZACIO I COMERCIALITZACIO DE RESIDUS METAL·LICS I EMMAGATZEMATGE DE RESIDUS PERILLOSOS (REVISIO RAEE),RECYMET,"C PUIG I CADAFALCH, 11-15",PI. CAN PI DE VILAROC,
FABRICACIO DE PA RATLLAT,RALLIPAN,"C ROMA, 5",PI. COVA SOLERA,
MAGATZEM DE MATERIAL ELÈCTRIC,RED ELECTRICA DE ESPAÑA,LLOC CAN PI DE VILAROC,PI. CAN PI DE VILAROC,
INDÚSTRIA D'ARTS GRÀFIQUES,REDGRAF,"C PONT DE CAN CLAVERI, 48",PI. LA LLANA,
MAGATZEM,REDGRAF.SA,"C PONT DE CAN CLAVERI, 48",PI. LA LLANA,
MAGATZEM I REPARACIÓ XARXES DE SEGURETAT,REDOMAN,"C BACH, 31",PI. CAN JARDI,
"COMERÇ AL DETALL DE MOBLES DE CUINA, BANY I REFORMES",REFORMAS BELARMINO,"C SEVILLA, 26",DA5,
REGISTRE DE LA PROPIETAT,REGISTRE DE LA PROPIETAT,"C GENERAL PRIM, 33-35 01 01",DA4,
REGISTRE DE LA PROPIETAT NUM. 1 I OFICINA LIQUIDADORA,"REGISTRE DE LA PROPIETAT NÚM,1","C DOCTOR FERRAN, 22-24 LOC 01",DA3,
PERRUQUERIA I CENTRE D'ESTÈTICA,RELAX PERRUQUERIA,"C ABAT ESCARRE, 49 PB 01",DA6,
COMERÇ A L'ENGRÓS DE PRODUCTES 'AUTOMOCIÓ,"REMA TIP TOP IBÉRICA, SA","C COLLITA, 48",PI. LA BASTIDA,
DISTRIBUCIÓ I APLICACIÓ DE PRODUCTES DE GOMA,"REMA TIP TOP IBÉRICA, SA","C COLLITA, 36",PI. LA BASTIDA,
FABRICACIÓ DE MAQUINÀRIA INDUSTRIAL,"RENAU TRANSPORTADORS, SA","C ATLETISME, 19",PI. CAN ROSES,www.renau.net
"EXPOSICIÓ, VENDA, MANTENIMENT I REPARACIÓ DE VEHICLES DE MOTOR SENSE XAPA I PINTURA",RENAULT,"CTRA TERRASSA, 97-101",PI. CTRA. TERRASSA,
VENDA AL DETALL DE ROBA PER HOME,RENOVA'T MODA D'HOME,"C CREU, 4",DA4,
REPARACIÓ D'ELECTRODOMÈSTICS,REPARACION DE ELECTRODOMESTICOS A. MUÑOZ,"C SANT JORDI, 30",DA5,
TALLER DE REPARACIÓ DE CALÇAT,REPARACION DEL CALZADO,"PTGE LLOBATERAS, 6 PB 04",DA6,
PERRUQUERIA,REPPELUX,"C SANT MIQUEL, 22 LOC 02",DA4,
ESTACIÓ DE SERVEI,REPSOL,"CTRA SANT CUGAT, 18",DA3,
"COMERÇ A L'ENGRÒS DE COMBUSTIBLES SÒLIDS, LÍQUIDS I GASOSOS I PRODUCTES SIMILARS",REPSOL,"CTRA MOLINS DE REI, 51",PI. CA N'ALZAMORA,
ESTACIÓ DE SERVEI,REPSOL,"LLOC AUTOPISTA, Km 14 ÁREA SERVICIO RUBÍ(N-S)",DA6,
ESTACIÓ DE SERVEI,REPSOL,"LLOC AUTOPISTA, Km 14 ÁREA SERVICIO RUBÍ(N-S)",DA5,
FABRICACIÓ DE PECES METÀL·LIQUES,"REPULSADO ESTIRADOS Y MECANIZADOS, SCCL","C ATENES, 21",PI. COVA SOLERA,
RESIDÈNCIA GERIÀTRICA,RESIDENCIA CENTRE DE DIA I CASAL GENT GRAN RUBI,"C LEPANT, 31-33",DA5,
RESIDÈNCIA GERIÀTRICA,RESIDENCIA D'AVIS I CENTRE DE DIA SANT JAUME,"C SANT JAUME, 2",DA4,
BAR,RESTAURANT ARIBAU,"AV ESTATUT, 91-93 Esc A PB A",DA6,
RESTAURANT,RESTAURANT ATELAC,"AV ESTATUT, 1",DA6,
RESTAURANT,RESTAURANT CAL GORI,"AV BARCELONA, 66",DA4,
BAR RESTAURANT,RESTAURANT CAN JARDI,"C WAGNER, 25",PI. CAN JARDI,
BAR-RESTAURANT,RESTAURANT CAN RAMON,"C LUXEMBURG, 13 NV 01",PI. COVA SOLERA,
RESTAURANT,RESTAURANT DEL GALL,"C XERCAVINS, 8",DA4,
BAR-RESTAURANT,RESTAURANT EL BON GUST,"PL ESBART DANSAIRE DE RUBI, 6 PB 01",DA5,
BAR-RESTAURANT,RESTAURANT EL CASTELL,"PL MARQUES DE BARBERA, 4",,
RESTAURANT,RESTAURANT GEPETO,"AV CAN SUCARRATS, 105",PI. COVA SOLERA,
BAR-RESTAURANT,RESTAURANT LES RODES,"C ALBENIZ, 9",DA3,
BAR-RESTAURANT,RESTAURANT TORRE DE LA LLEBRE,C ART,PI. CA N'ALZAMORA,
RESTAURANT,RESTAURANT TORRECILLA,"AV CAN SUCARRATS, 91-95 NV 11",PI. COVA SOLERA,
BAR RESTAURANT,RESTAURANT WOK-PAN,"CTRA TERRASSA, 130B",PI. CTRA. TERRASSA,
RESTAURANT,RESTAURANTE CASA EMI,"C PARIS, 1-7 NV B",PI. COVA SOLERA,
RESTAURANT,RESTAURANTE CHINO NUEVO SIGLO,"PG FERROCARRIL, 1",DA4,
BAR-RESTAURANT,RESTAURANTE EL RINCON DEL CURRANTE,"CTRA SABADELL, 247 NV 68",PI. LA BASTIDA,
BAR-RESTAURANT AMB CUINA COL·LECTIVA,RESTAURANTE ESTELA,"AV GAUDI, 283",PI. CAN PI DE VILAROC,
RESTAURANT,RESTAURANTE XACOBEO 2004,"PG TORRES, 55",DA3,
BAR-RESTAURANT,RESTAURANTE-BRASERIA RUBI SUD,"AV GAUDI, 76",PI. CAN PI DE VILAROC,
CENTRE DE SALUT I ESTÈTICA,RESULTATS MILLORS,"C CA N'ORIOL, 9-11 LOC 02",DA6,
MAGATZEM MAT. CONSTRUCCIÓ,"REVEST'95, S.L.","C SCHUMANN, 12",PI. CAN JARDI,
COMERÇ AL DETALL DE TELEFONIA MÒBIL,REVIVETEK TELEFONIA,"AV BARCELONA, 6",DA4,
DESPATX D'ADVOCATS,RF ADVOCATS,"C MAXIMI FORNES, 11 01",DA4,
FABRICACIÓ DE PECES METÀL·LIQUES,RG,"CTRA MOLINS DE REI, 60",PI. LA BASTIDA,
ASSESSORIA,RGA RUBIGEST ASSESSORS,"C EDUARD FONTSERE, 17",DA6,
GESTIO I ADMINISTRACIÓ IMMOBILIARIA,RIBBE RUBI,"C SANT JOAN, 24",DA4,
MAGATZEM DE PRODUCTES ALIMENTARIS,RIERA GIERSEN,"CTRA SABADELL, 247 NV 78",PI. LA BASTIDA,
SERVEIS INFORMARTICS DIVERSOS,RIMM,"AV OLIMPIADES, 29-33 Esc 1 ST 13",DA5,
PERRUQUERIA I CENTRE D'ESTÈTICA,RINXOLS,"PG RIERA, 164 PB 01",DA5,
VENDA AL DETALL DE JOIERIA I BIJUTERIA,RIZZO,"PG FRANCESC MACIA, 88",DA4,
PERRUQUERIA,RJ ESTILISTES,"C SANT SEBASTIA, 6-8 PB C",DA4,
"FABRICACIÓ D'ELEMENTS DE FORMIGÓ, GUIX I CIMENT","ROAR, SA","AV GAUDI, 161",PI. CAN PI DE VILAROC,
"FABRICACIÓ DE MAONS, TEULES I PRODUCTES DE TERRA CUITA PER A LA CONSTRUCCIÓ","ROAR, SA","AV GAUDI, 161-251",PI. CAN PI DE VILAROC,
"FABRICACIÓ DE PRODUCTES PLÀSTICS, IMPRESSIÓ I DISSENY",ROCHE HERMANOS,"AV LLANA, 129",PI. LA LLANA,
CENTRE RECREATIU AMB REPRESENTACIONS D'ESCALADA EN PÚBLIC (ROCÒDROM),ROCÒDROM,"AV CAN ROSES, 47 PB 04",PI. CAN ROSES,
PERRUQUERIA,RODELAS,"C CERVANTES, 49A",DA4,
RECICLATGE DE FERRALLA I REBUIG DE METALL,RODUHER,"C SCHUBERT, 7 NV 1A",PI. CAN JARDI,
GESTOR DE RESIDUS METÀL·LICS (REVISIO),RODUHER,"C SCHUBERT, 7 NV 1A",PI. CAN JARDI,
LOCUTORI TELEFÒNIC,ROKEL TELECOM,"C CREU, 27 LOC 05",DA4,
MAGATZEM DE PORTES AUTOMATIQUES,ROLLTORE PORTIS,"CTRA SABADELL, 281 NV 03",PI. CAN PI DE VILAROC,
VENDA A L'ENGRÒS DE ROBA LABORAL I MATERIAL DE PROTECCIÓ,ROLYMS VALLES,"PG RIERA, 34-38",DA4,
TALLER DE REPARACIÓ MECÀNICA,ROS ROCA,"AV GAUDI, 72 NV 07",PI. CAN PI DE VILAROC,
COMERÇ AL DETALL DE PRODUCTES PER ANIMALS I PERRUQUERIA CANINA,ROSITA MORENO ESTILISTES CANINS,"C DOCTOR ROBERT, 21-27 LOC 03",DA4,
COMERÇ AL DETALL DE SABATES,SABATERIA,"AV BARCELONA, 52 PB",DA4,
DISTRIBUCIÓ DE PRODUCTES QUÍMICS,ROSLER INTERNATIONAL GMBH & CO KG,"C ROMA, 15",PI. COVA SOLERA,
"VENDA A L'ENGRÒS DE MAQUINÀRIA, PRODUCTES QUÍMICS I ABRASIUS",ROSLER INTERNATIONAL GMBH & CO KG,"C ROMA, 8-12",PI. COVA SOLERA,
